CI_radius,normal_times,parallel_times,initial_repetitions
3.0,0.3548617362976074,2.1010637283325195,214
2.8473684210526318,0.3843052387237549,1.9899158477783203,228
2.694736842105263,0.41760849952697754,2.185696601867676,250
2.542105263157895,0.46888113021850586,2.0218968391418457,284
2.389473684210526,0.5162949562072754,2.101865530014038,310
2.236842105263158,0.6301145553588867,2.0530755519866943,377
2.0842105263157897,0.6979861259460449,2.07830810546875,422
1.931578947368421,0.793097972869873,2.077282190322876,481
1.7789473684210526,0.899702787399292,2.163239002227783,542
1.6263157894736842,1.01678466796875,2.27349853515625,613
1.4736842105263157,1.194481372833252,2.195969581604004,721
1.3210526315789473,1.429295301437378,2.305762767791748,868
1.168421052631579,1.7683300971984863,2.469315528869629,1076
1.0157894736842106,2.1306700706481934,2.533442258834839,1296
0.8631578947368421,2.7413809299468994,2.918280601501465,1664
0.7105263157894735,3.925356864929199,3.368114471435547,2378
0.5578947368421052,5.923282146453857,3.9971282482147217,3544
0.405263157894737,9.82991647720337,4.893364667892456,5947
0.2526315789473683,17.90896439552307,7.971081733703613,10854
0.1,46.36515998840332,17.31250834465027,27335
