CI_radius,normal_times,parallel_times,initial_repetitions
3.0,0.33876681327819824,1.9924392700195312,101
2.8473684210526318,0.36153364181518555,2.079014778137207,107
2.694736842105263,0.37926745414733887,2.0735116004943848,117
2.542105263157895,0.41091132164001465,1.9910199642181396,124
2.389473684210526,0.430126428604126,2.0666215419769287,135
2.236842105263158,0.4922306537628174,2.110593557357788,147
2.0842105263157897,0.5396101474761963,1.9565014839172363,162
1.931578947368421,0.6950156688690186,1.9669723510742188,216
1.7789473684210526,0.7851896286010742,2.0243685245513916,246
1.6263157894736842,0.9009974002838135,2.0169742107391357,281
1.4736842105263157,1.0407013893127441,2.066115379333496,326
1.3210526315789473,1.2353053092956543,2.067826509475708,389
1.168421052631579,1.5796852111816406,2.120732069015503,495
1.0157894736842106,1.9651858806610107,2.2000317573547363,617
0.8631578947368421,2.6140918731689453,2.5024566650390625,805
0.7105263157894735,3.7367966175079346,2.57883358001709,1164
0.5578947368421052,5.380540132522583,3.1496798992156982,1677
0.405263157894737,8.49196720123291,4.051362037658691,2649
0.2526315789473683,15.927548885345459,5.584404230117798,4967
0.1,40.72376537322998,12.709700584411621,12333
