CI_radius,normal_times,parallel_times,initial_repetitions
3.0,0.3653864860534668,2.1487436294555664,455
2.8473684210526318,0.43578124046325684,2.097456455230713,517
2.694736842105263,0.47607898712158203,2.2185776233673096,584
2.542105263157895,0.5340383052825928,2.130713701248169,647
2.389473684210526,0.597416877746582,2.0123941898345947,750
2.236842105263158,0.6579618453979492,2.015589952468872,821
2.0842105263157897,0.749284029006958,2.0545570850372314,928
1.931578947368421,0.8362927436828613,2.091742515563965,1049
1.7789473684210526,0.9676055908203125,2.1339521408081055,1208
1.6263157894736842,1.1036031246185303,2.201730251312256,1377
1.4736842105263157,1.3031284809112549,2.271909713745117,1615
1.3210526315789473,1.5611190795898438,2.823843002319336,1948
1.168421052631579,2.648265838623047,3.263498306274414,2401
1.0157894736842106,2.545408248901367,3.180023193359375,3068
0.8631578947368421,3.275838851928711,3.7499330043792725,3962
0.7105263157894735,4.6063477993011475,4.042006492614746,5586
0.5578947368421052,7.034604072570801,5.198968172073364,8276
0.405263157894737,11.329023599624634,7.613399982452393,13174
0.2526315789473683,22.199085235595703,14.445394039154053,24334
0.1,65.53848052024841,44.30294990539551,60840
